gutenberg-11	I _don’t_ know
gutenberg-11	Are you content now
gutenberg-11	Well, I should like to be a _little_ larger, sir, if you wouldn’t mind
gutenberg-11	three inches is such a wretched height to be
gutenberg-11	It is a very good height indeed
gutenberg-11	But I’m not used to it
gutenberg-11	I wish the creatures wouldn’t be so easily offended
gutenberg-11	You’ll get used to it in time
gutenberg-11	One side will make you grow taller, and the other side will make you grow shorter
gutenberg-11	One side of _what
gutenberg-11	The other side of _what
gutenberg-11	Of the mushroom
gutenberg-11	And now which is which
gutenberg-11	Come, my head’s free at last
gutenberg-11	What _can_ all that green stuff be
gutenberg-11	And where _have_ my shoulders got to
gutenberg-11	And oh, my poor hands, how is it I can’t see you
gutenberg-11	I’m _not_ a serpent
gutenberg-11	Let me alone
gutenberg-11	Serpent, I say again
gutenberg-11	I’ve tried every way, and nothing seems to suit them
gutenberg-11	I haven’t the least idea what you’re talking about
gutenberg-11	I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried hedges
gutenberg-11	but those serpents
gutenberg-11	There’s no pleasing them
gutenberg-11	As if it wasn’t trouble enough hatching the eggs
gutenberg-11	but I must be on the look-out for serpents night and day
gutenberg-11	Why, I haven’t had a wink of sleep these three weeks
gutenberg-11	I’m very sorry you’ve been annoyed
gutenberg-11	And just as I’d taken the highest tree in the wood
gutenberg-11	But I’m _not_ a serpent, I tell you
gutenberg-11	I’m a—I’m a
gutenberg-11	What_ are you
gutenberg-11	I can see you’re trying to invent something
gutenberg-11	I—I’m a little girl
gutenberg-11	A likely story indeed
gutenberg-11	You’re a serpent
gutenberg-11	and there’s no use denying it
gutenberg-11	I suppose you’ll be telling me next that you never tasted an egg
gutenberg-11	I _have_ tasted eggs, certainly
gutenberg-11	but little girls eat eggs quite as much as serpents do, you know
gutenberg-11	I don’t believe it
gutenberg-11	but if they do, why then they’re a kind of serpent, that’s all I can say
gutenberg-11	You’re looking for eggs, I know _that_ well enough
gutenberg-11	and what does it matter to me whether you’re a little girl or a serpent
gutenberg-11	It matters a good deal to _me
gutenberg-11	but I’m not looking for eggs, as it happens
gutenberg-11	and if I was, I shouldn’t want _yours_: I don’t like them raw
gutenberg-11	Well, be off, then
gutenberg-11	Come, there’s half my plan done now
gutenberg-11	How puzzling all these changes are
gutenberg-11	I’m never sure what I’m going to be, from one minute to another
gutenberg-11	Whoever lives there
gutenberg-11	it’ll never do to come upon them _this_ size: why, I should frighten them out of their wits
gutenberg-11	For the Duchess
gutenberg-11	An invitation from the Queen to play croquet
gutenberg-11	From the Queen
gutenberg-11	An invitation for the Duchess to play croquet
gutenberg-11	There’s no sort of use in knocking
gutenberg-11	and that for two reasons
gutenberg-11	First, because I’m on the same side of the door as you are
gutenberg-11	secondly, because they’re making such a noise inside, no one could possibly hear you
gutenberg-11	how am I to get in
gutenberg-11	There might be some sense in your knocking
gutenberg-11	if we had the door between us
gutenberg-11	For instance, if you were _inside_, you might knock, and I could let you out, you know
gutenberg-11	But perhaps he can’t help it
gutenberg-11	his eyes are so _very_ nearly at the top of his head
gutenberg-11	But at any rate he might answer questions
gutenberg-11	I shall sit here
gutenberg-11	or next day, maybe
gutenberg-11	Are_ you to get in at all
gutenberg-11	That’s the first question, you know
gutenberg-11	It’s really dreadful
gutenberg-11	the way all the creatures argue
gutenberg-11	It’s enough to drive one crazy
gutenberg-11	on and off, for days and days
gutenberg-11	But what am _I_ to do
gutenberg-11	Anything you like
gutenberg-11	Oh, there’s no use in talking to him
gutenberg-11	he’s perfectly idiotic
gutenberg-11	There’s certainly too much pepper in that soup
gutenberg-11	Please would you tell me
gutenberg-11	why your cat grins like that
gutenberg-11	It’s a Cheshire cat
gutenberg-11	and that’s why
gutenberg-11	I didn’t know that Cheshire cats always grinned
gutenberg-11	in fact, I didn’t know that cats _could_ grin
gutenberg-11	They all can
gutenberg-11	and most of ’em do
gutenberg-11	I don’t know of any that do
gutenberg-11	You don’t know much
gutenberg-11	and that’s a fact
gutenberg-11	Oh, _please_ mind what you’re doing
gutenberg-11	Oh, there goes his _precious_ nose
gutenberg-11	If everybody minded their own business
gutenberg-11	the world would go round a deal faster than it does
gutenberg-11	Which would _not_ be an advantage
gutenberg-11	Just think of what work it would make with the day and night
gutenberg-11	You see the earth takes twenty-four hours to turn round on its axis
gutenberg-11	Talking of axes
gutenberg-11	chop off her head
gutenberg-11	Twenty-four hours, I _think
gutenberg-11	or is it twelve
gutenberg-11	Oh, don’t bother _me
gutenberg-11	I never could abide figures
gutenberg-11	I speak severely to my boy, I beat him when he sneezes
gutenberg-11	For he can thoroughly enjoy The pepper when he pleases
gutenberg-11	you may nurse it a bit, if you like
gutenberg-11	I must go and get ready to play croquet with the Queen
gutenberg-11	just like a star-fish
gutenberg-11	If I don’t take this child away with me
gutenberg-11	they’re sure to kill it in a day or two: wouldn’t it be murder to leave it behind
gutenberg-11	that’s not at all a proper way of expressing yourself
gutenberg-11	But perhaps it was only sobbing
gutenberg-11	If you’re going to turn into a pig, my dear
gutenberg-11	I’ll have nothing more to do with you
gutenberg-11	Now, what am I to do with this creature when I get it home
gutenberg-11	If it had grown up
gutenberg-11	it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think
gutenberg-11	if one only knew the right way to change them
gutenberg-11	Come, it’s pleased so far
gutenberg-11	Would you tell me, please, which way I ought to go from here
gutenberg-11	That depends a good deal on where you want to get to
gutenberg-11	I don’t much care where
gutenberg-11	Then it doesn’t matter which way you go
gutenberg-11	so long as I get _somewhere
gutenberg-11	Oh, you’re sure to do that
gutenberg-11	if you only walk long enough
gutenberg-11	What sort of people live about here
gutenberg-11	In _that_ direction
gutenberg-11	lives a Hatter: and in _that_ direction
gutenberg-11	lives a March Hare
gutenberg-11	Visit either you like: they’re both mad
gutenberg-11	But I don’t want to go among mad people
gutenberg-11	Oh, you can’t help that
gutenberg-11	we’re all mad here
gutenberg-11	How do you know I’m mad
gutenberg-11	You must be
gutenberg-11	or you wouldn’t have come here
gutenberg-11	And how do you know that you’re mad
gutenberg-11	To begin with
gutenberg-11	a dog’s not mad
gutenberg-11	You grant that
gutenberg-11	I suppose so
gutenberg-11	you see, a dog growls when it’s angry, and wags its tail when it’s pleased
gutenberg-11	Now _I_ growl when I’m pleased, and wag my tail when I’m angry
gutenberg-11	Therefore I’m mad
gutenberg-11	I_ call it purring, not growling
gutenberg-11	Call it what you like
gutenberg-11	Do you play croquet with the Queen to-day
gutenberg-11	I should like it very much
gutenberg-11	but I haven’t been invited yet
gutenberg-11	You’ll see me there
gutenberg-11	By-the-bye, what became of the baby
gutenberg-11	I’d nearly forgotten to ask
gutenberg-11	It turned into a pig
gutenberg-11	I thought it would
gutenberg-11	I’ve seen hatters before
gutenberg-11	Did you say pig, or fig
gutenberg-11	I said pig
